,上映日期,片名,类型,制片国家/地区,想看,ID,导演,主演
0,01月29日,吉祥如意,剧情 / 家庭,中国大陆,18088人,35068230,大鹏,王吉祥|大鹏|刘陆
1,01月29日,蜂鸟计划,剧情,加拿大,7133人,27039358,阮金,杰西·艾森伯格|亚历山大·斯卡斯加德|萨尔玛·海耶克|迈克尔·曼多|约翰·海尔登贝格|阿伊莎·伊萨|萨拉·古德伯格|弗兰克·萧宾|夸西·宋桂|康拉德·皮拉|朱利安·拜利|卡内赫迪奥·霍恩|泰勒·艾略特·伯克|布朗温·曼特尔|伊戈尔·奥瓦迪斯|詹维姆维·米勒|艾瑞卡·罗森鲍姆|朱丽叶特·高斯林|拉斐尔·格罗斯-哈维|斯蒂芬妮·科斯塔|卡尔·格拉戈萨斯|梅兰莎·布莱克索恩
2,01月29日,温泉屋的小老板娘,动画 / 家庭,日本,4007人,30205667,高坂希太郎,小林星兰|水树奈奈|松田飒水|远藤璃菜|小樱悦子|麻上洋子|花泽香菜|一龙斋贞友|寺杣昌纪|折笠富美子|小林由美子|小松未可子
3,01月29日,移情高手,喜剧 / 爱情,中国大陆,383人,30476403,郑来志,王智|高晓攀|于莎莎|衣云鹤|黄奕|迟帅|吕颂贤|颜丹晨|克拉拉|巴多
4,01月30日,黄河尕谣,纪录片 / 音乐,中国大陆,1958人,30154423,张楠,张尕怂
5,01月30日,赛尔号大电影7：疯狂机器城,儿童 / 喜剧 / 动画,中国大陆,591人,30449240,王章俊,胡谦|李晔|罗玉婷|李春胤|翟巍|王晓彤|黄晨|范楚绒|蒋可|赵国卿|贾邱|严丽祯|游军|王燕华|周南飞
6,01月30日,卸甲归来,动作,中国大陆,54人,34822674,杜修斌|郭虎,吕良伟|元彪|徐冬冬|周海媚|柏华力·莫高彼斯彻
7,02月12日,唐人街探案3,喜剧 / 悬疑,中国大陆,282016人,27619748,陈思诚,王宝强|刘昊然|妻夫木聪|托尼·贾|长泽雅美|染谷将太|铃木保奈美|浅野忠信|三浦友和|尚语贤|肖央|张子枫|邱泽|张钧甯|马伯骞|程潇
8,02月12日,刺杀小说家,动作 / 奇幻 / 冒险,中国大陆,61338人,26826330,路阳,雷佳音|杨幂|董子健|于和伟|郭京飞|佟丽娅|董洁|王圣迪|杨轶
9,02月12日,侍神令,奇幻,中国大陆,42028人,26935283,李蔚然,陈坤|周迅|陈伟霆|屈楚萧|王丽坤|沈月|王紫璇|王悦伊
10,02月12日,你好，李焕英,剧情 / 喜剧,中国大陆,39160人,34841067,贾玲,贾玲|张小斐|沈腾|陈赫|魏翔
11,02月12日,人潮汹涌,剧情 / 喜剧 / 犯罪,中国大陆,30477人,34880302,饶晓志,刘德华|肖央|万茜|程怡|黄小蕾
12,02月12日,熊出没·狂野大陆,喜剧 / 科幻 / 动画,中国大陆,9642人,34825886,丁亮,张伟|张秉君|谭笑
13,02月12日,新神榜：哪吒重生,动作 / 动画 / 奇幻,中国大陆,9045人,34779692,赵霁,杨天翔|张赫|宣晓鸣
14,02月14日,不要先生与好的女士,喜剧 / 爱情,中国大陆,9人,30473279,安然,余乐欣|周翊涛
15,02月16日,梦醒黄金城,剧情,中国大陆,17人,30433356,沈慕白,魏骏杰|蓝心妍|欢子|李国麟|刘文迪|李俊南|毕雪
16,02月23日,扶贫主任,剧情,中国大陆,1人,30188047,郭凯敏,郭凯敏|梁丽|章格琳|孔建中
17,02月26日,小美人鱼的奇幻冒险,动画 / 奇幻 / 冒险,中国大陆,2602人,35154209,思明,
18,03月09日,破晓徂徕山,历史 / 战争,中国大陆,1人,35332838,六小浩,张林|陈思莹|周思宇
19,03月12日,北京爱情图鉴,剧情,中国大陆,1318人,27067713,房祖名,陈柏霖|郭采洁|夏侯云姗|姜超|魏巡|谢霆锋|成龙|曾志伟|英达|李宗盛|英壮|周蕙|巫启贤|金池
20,04月01日,来都来了,喜剧,中国大陆,1461人,34670706,刘奋斗,范伟|廖凡|佟丽娅|黄璐|乔杉|包贝尔|杜江|李蔓瑄|魏大勋|海一天
21,04月02日,我的姐姐,剧情,中国大陆,6729人,35158160,殷若昕,张子枫|肖央|朱媛媛|段博文|梁靖康|金遥源|王圣迪
22,04月30日,古董局中局,剧情 / 悬疑 / 冒险,中国大陆,16419人,26996619,郭子健,雷佳音|李现|辛芷蕾|葛优|王庆祥|咏梅|阿如那|秦焰|佐藤丽|纪焕博|郭涛|松峰莉璃|杨新鸣|赵燕国彰
23,05月01日,秘密访客,剧情 / 悬疑,中国大陆,42854人,30378158,陈正道,郭富城|段奕宏|张子枫|许玮甯|荣梓杉|王圣迪
24,05月01日,阳光劫匪,剧情 / 喜剧 / 奇幻,中国大陆,6127人,26933158,李玉,马丽|宋佳|张海宇|谢锐韬|曾志伟|沙溢|杨迪|詹瑞文
25,05月01日,西游记之再世妖王,喜剧 / 动画 / 奇幻,中国大陆,3248人,26818326,王云飞,
26,05月20日,你的婚礼,爱情,中国大陆,7389人,34973399,韩天,许光汉|章若楠
27,07月01日,革命者,剧情 / 历史,中国大陆,817人,35288767,徐展雄,张颂文|李易峰|韩庚|马少骅
28,07月01日,1921,剧情 / 历史,中国大陆,4人,35125443,黄建新|郑大圣,黄轩|倪妮|王仁君|刘昊然|袁文康|祖峰|窦骁|张颂文|刘家祎|王俊凯|韩东君|张超|张云龙|胡先煦|李晨|郭子凡|欧阳卫熹|陈美伊|胡连馨|陈仟钰|夏梦|池松壮亮|埃里克·迪恩|乔什·怀特豪斯
29,2022年02月01日,我心飞扬,剧情 / 传记,中国大陆,769人,32712599,王放放,孟美岐
